,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps,fuel_slope,fuel_bias,deg_slope,deg_bias,lag_slope_mean,lag_bias_mean
3873,Spanish Grand Prix,4,2021,Mercedes,SOFT,HAM,1.0,76.741,Qualifying,22.042857142857144,31.925000000000004,57.41785714285714,0.0,1.0,1.0,1.0,5.0,1.0,28.0,4.655,66,-0.05453231292516966,83.2585731292517,0.029592204557111056,82.88147725108063,-0.0012305907002562871,83.62961793588514
3874,Spanish Grand Prix,4,2021,Red Bull Racing,MEDIUM,PER,2.0,77.669,Qualifying,22.52,33.45666666666667,58.38999999999999,0.0,8.0,5.0,2.0,1.0,28.0,30.0,4.655,66,-0.053490892879887834,84.568100496752,-0.036100869565218206,84.39212028985507,,
3875,Spanish Grand Prix,4,2021,Red Bull Racing,MEDIUM,VER,2.0,76.777,Qualifying,22.550000000000004,33.54722222222222,58.06944444444444,0.0,2.0,2.0,2.0,1.0,25.0,36.0,4.655,66,,,0.01929877641824284,81.42326866889135,-0.008401046573487683,82.90769447937322
3876,Spanish Grand Prix,4,2021,Red Bull Racing,SOFT,PER,1.0,77.669,Qualifying,22.029629629629632,31.88888888888889,57.51111111111111,0.0,8.0,5.0,1.0,4.0,1.0,27.0,4.655,66,-0.053490892879887834,84.568100496752,0.010131034482760684,84.44509999999998,,
3877,Spanish Grand Prix,4,2021,Red Bull Racing,SOFT,PER,3.0,77.669,Qualifying,23.166666666666668,35.87777777777777,57.03333333333334,0.0,8.0,5.0,3.0,4.0,58.0,9.0,4.655,66,-0.053490892879887834,84.568100496752,,,,
3878,Spanish Grand Prix,4,2021,Red Bull Racing,SOFT,VER,1.0,76.777,Qualifying,21.995833333333337,31.808333333333337,57.50416666666666,0.0,2.0,2.0,1.0,4.0,1.0,24.0,4.655,66,,,0.01245061830173008,83.0873381698269,0.011290826392245382,83.76621908491344
3879,Spanish Grand Prix,4,2021,Red Bull Racing,SOFT,VER,3.0,76.777,Qualifying,23.183333333333337,35.88333333333333,56.7,0.0,2.0,2.0,3.0,1.0,61.0,6.0,4.655,66,,,,,,
3880,Spanish Grand Prix,4,2021,Williams,MEDIUM,LAT,2.0,79.219,Qualifying,22.194444444444443,32.20555555555555,57.16666666666666,0.0,19.0,16.0,2.0,1.0,10.0,18.0,4.655,66,-0.07697193702943136,87.06214579055445,-0.08170629370629212,87.16389976689973,,
3881,Spanish Grand Prix,4,2021,Williams,MEDIUM,LAT,3.0,79.219,Qualifying,22.53478260869565,33.186956521739134,57.939130434782605,0.0,19.0,16.0,3.0,1.0,28.0,23.0,4.655,66,-0.07697193702943136,87.06214579055445,0.06605735294117461,81.69960441176478,,
3882,Spanish Grand Prix,4,2021,Williams,MEDIUM,RUS,2.0,78.445,Qualifying,22.21052631578948,32.268421052631574,57.18947368421052,0.0,15.0,14.0,2.0,1.0,10.0,19.0,4.655,66,-0.1080929853181081,87.07942577487763,-0.08397582417582455,87.0170285714286,-0.08284105894105834,87.09046416916416
